Date,Open,High,Low,Close,Adj Close,Volume
1/27/2020,28813.03906,28813.03906,28169.5293,28256.0293,28256.0293,403890000
2/3/2020,28319.65039,29408.05078,28319.65039,29102.50977,29102.50977,1514760000
2/10/2020,28995.66016,29568.57031,28995.66016,29398.08008,29398.08008,1361730000
2/17/2020,29282.7793,29409.08984,28892.69922,28992.41016,28992.41016,1096230000
2/24/2020,28402.92969,28402.92969,24681.00977,25409.35938,25409.35938,3019270000
3/2/2020,25590.50977,27102.33984,25226.61914,25864.7793,25864.7793,2819020000
3/9/2020,24992.35938,25020.99023,21154.46094,23185.61914,23185.61914,3820590000
3/16/2020,20917.5293,21768.2793,18917.46094,19173.98047,19173.98047,4087140000
3/23/2020,19028.35938,22595.06055,18213.65039,21636.7793,21636.7793,3677640000
3/30/2020,21678.2207,22480.36914,20735.01953,21052.5293,21052.5293,2602980000
4/6/2020,21693.63086,24008.99023,21693.63086,23719.36914,23719.36914,2244560000
4/13/2020,23698.92969,24264.21094,23095.34961,24242.49023,24242.49023,2314860000
4/20/2020,24095.09961,24108.68945,22941.88086,23775.26953,23775.26953,2026740000
4/27/2020,23866.15039,24764.76953,23645.30078,23723.68945,23723.68945,2150930000
5/4/2020,23581.55078,23769.56055,23361.16016,23749.75977,23749.75977,355360000
